area_sqft,bedrooms,bathrooms,age_years,distance_city_km,price_lakhs
650,1,1,20,18,32
800,2,1,15,16,41
900,2,2,12,14,47
1000,2,1,10,13,53
1100,2,2,8,12,59
1200,2,2,6,11,66
1300,3,2,5,10,73
1400,3,2,4,9,80
1500,3,2,3,8,88
1600,3,2,2,7,96
1750,3,2,7,7,108
1850,3,3,5,6,116
2000,3,3,4,5,128
2200,4,3,8,6,143
2400,4,3,6,5,158
2600,4,3,5,4,174
2800,4,4,3,3,191
3000,4,4,2,2,210
3200,5,4,4,4,228
3500,5,4,1,3,255
700,1,1,18,17,35
850,2,2,14,15,44
1050,2,2,9,12,56
1250,3,2,7,11,70
1450,3,2,6,9,82
1650,3,3,4,8,101
1900,4,3,10,7,130
2100,4,3,7,6,148
2500,4,4,5,5,165
2900,5,4,2,3,205
